"product_id","product_name","category","price"
1,"Laptop","Electronics",65000.00
2,"Headphones","Electronics",2500.00
3,"Office Chair","Furniture",7000.00
4,"Keyboard","Electronics",1800.00
5,"Water Bottle","Home",600.00
6,"Smartwatch","Electronics",4500.00
7,"Study Table","Furniture",5500.00
8,"Desk Lamp","Home",900.00
9,"Backpack","Accessories",1500.00
10,"Wireless Mouse","Electronics",1200.00
11,"Bookshelf","Furniture",6200.00
12,"Coffee Mug","Home",300.00
13,"Bluetooth Speaker","Electronics",2800.00
14,"Yoga Mat","Sports",1100.00
15,"Running Shoes","Sports",3200.00
